0000 76.0
0001 65.0
0002 91.0
0003 89.0
0004 98.0
0005 100.0 
0100 67.0
0101 88.0
0102 87.8
0103 67.9
0104 60.9
0105 69.9
0200 90.0
0201 99.0
0202 91.0
0203 87.0
0204 88.9
0205 80.9
0300 87.9
0301 80.9
0302 98.0
0303 97.0
0304 91.0
0305 93.0
0400 95.8
0401 93.0
0402 95.0
0403 93.0
0404 91.0
0405 94.0
0500 73.0
0501 90.0
0502 54.0
0503 74.0
0504 65.0
0505 56.0
0600 74.0
0601 81.0
0602 74.0
0603 90.0
0604 76.0
0605 45.0
0700 76.0
0701 34.0
0702 98.0
0703 76.0
0704 47.0
0705 67.0
0800 98.0
0801 87.9
0802 91.0
0803 89.0
0804 90.0
0805 94.0
0900 45.6
0901 90.0
0902 65.0
0903 87.0
0904 78.0
0905 75.9
1000 68.0
1001 69.0
1002 87.8
1003 85.9
1004 98.7
1005 87.6
1100 56.9
1101 87.7
1102 89.8
1103 89.6
1104 87.6
1105 68.0
1200 93.0
1201 97.0
1202 90.0
1203 91.0
1204 88.0
1205 89.5
1300 78.0
1301 64.0
1302 23.7
1303 34.9
1304 69.0
1305 78.9
1400 75.0
1401 79.0
1402 77.0
1403 93.6
1404 78.0
1405 81.0
